id,workload,repr,chunk,elem,retained,n,base,appended,blocks,forks,depth,keep_all,region,lv_pos,batch,ops_per_sample,nsamples,median_ns,p95_ns,min_ns,median2_ns,p95_2_ns,allocs_op,bytes_op,zcopies_op,zmoves_op,addref_op,blk_addref_op,branches_op,mem_start,mem_build,mem_peak,mem_end,checksum,balance_ok,vgroup,extra
206,linear,C,16,int,0,1024,,,,,,0,,,1,1024,15,2.482,2.563,2.481,,,0.0693,17.52,1,0,0,0,0,474328,511760,511760,474328,10d750485dff5f42,1,lin-dead-int-1024,
207,base_append,C,32,int,0,,10000,1024,,,,0,,,96,98304,15,2.976,3.104,2.835,,,0.0371,16.77,1,0,0,0,0,474424,2815320,2815320,474424,9a21c971ff833e48,1,ba-int-10000-1024,
208,linear,C,32,array,0,65536,,,,,,0,,,1,65536,8,3.532,3.734,3.511,,,0.0314,16.75,1,0,1,0,0,474408,19627360,19627360,474408,63e98e6e620efd26,1,lin-dead-array-65536,
209,branch,A,0,int,0,,1024,,,,,0,,half,118,118,15,639.831,641.949,638.771,,,1,25624,1601,0,0,0,0,474408,3916072,3916072,474408,5934bac54a9d0773,1,br-int-7-half,"{""lv_at_branch"":64}"
210,base_append,C,128,string,0,,100,1,,,,0,,,3614,3614,15,10.976,11.806,10.93,,,4,2144,1,0,1,0,0,474424,10084720,10084720,474424,e054259b2e6163b4,1,ba-string-100-1,
211,linear,A,0,object,0,4096,,,,,,0,,,1,4096,15,6155.253,6177.104,6136.749,,,1.0002,32784,2048.5,0,2048.5,0,0,474328,830680,896216,531672,a90dfee62da19683,1,lin-dead-object-4096,
212,base_append,C,32,int,0,,100000,64,,,,0,,,449,28736,15,3.16,3.374,3.023,,,0.0781,17.63,1,0,0,0,0,474424,4295856,4295856,474424,4cdea0178042d4c6,1,ba-int-100000-64,
213,linear,B,0,array,1,4096,,,,,,0,,,1,4096,6,4390.544,4405.334,4379.405,,,1.0002,43706.69,2048.5,0,2048.5,0,0,474408,196875000,196875000,474408,09d684cff1ede49b,1,lin-ret-array-4096,
214,base_append,C,16,string,0,,1000,64,,,,0,,,342,21888,15,2.922,2.972,2.878,,,0.1094,17.88,1,0,1,0,0,474424,1024808,1024808,474424,5f5271fda6a2fedb,1,ba-string-1000-64,
215,base_append,C,32,string,0,,100,16,,,,0,,,1200,19200,15,3.073,3.088,3.062,,,0.25,38,1,0,1,0,0,474424,1368824,1368824,474424,a433fde0ca4b111f,1,ba-string-100-16,
216,base_append,A,0,string,0,,10000,64,,,,0,,,1,64,15,19190.109,19614.594,18229.172,,,1,160528,10032.5,0,10032.5,0,0,474424,1368520,1532360,474424,d1288a0148114f2a,1,ba-string-10000-64,
217,invisible,C,128,string,0,1281,1000,5120,,,,0,,,1,1,0,,,,,,0,0,0,0,0,0,0,474384,0,936872,474384,6634188004b80b93,1,,"{""live_slots_tip"":6120,""live_bytes_tip"":98848,""live_slots_snap"":2408,""live_bytes_snap"":39192,""visible_count"":2281,""invisible_slots"":127,""invisible_slot_bound"":128,""blocks_live_snap"":11,""spine_arr_bytes_snap"":512}"
218,linear,C,128,int,1,4096,,,,,,0,,,1,4096,15,11.861,14.842,11.271,,,1.0093,48.19,1,0,0,16.4922,0,474328,785936,785936,474328,e1afe464a1eeb2fb,1,lin-ret-int-4096,
219,read,C,16,int,0,,10000,,8,,,0,last,,100000,100000,15,0.649,0.665,0.604,,,0,0,0,0,0,0,0,474832,837960,837960,474832,000de2dfe125b582,1,,
220,linear,B,0,nested,0,4096,,,,,,0,,,1,4096,15,2.879,3.021,2.737,,,0.0029,32.03,1,0.999,1,0,0,474328,2542808,2579672,474328,44fb47bd5072b14f,1,lin-dead-nested-4096,
221,base_append,B,0,string,0,,100,64,,,,0,,,655,41920,15,5.566,6.317,5.367,,,0.0313,96.5,2.5625,2,2.5625,0,0,474424,5859800,5862360,474424,a23575fb359b72cb,1,ba-string-100-64,
222,destroy,C,16,nested,0,16384,,,,,,0,,,1,16384,8,2.151,2.187,2.131,,,0,0,0,0,0,0,0,474440,8805760,8805760,474440,0000000000000000,1,,
223,linear,C,64,int,1,65536,,,,,,0,,,1,65536,5,462.741,466.077,459.539,,,1.0158,48.38,1,0,0,512.4844,0,474408,5463392,5463392,474408,9f836d3a8baba8bc,1,lin-ret-int-65536,
224,base_append,B,0,string,0,,1000,64,,,,0,,,114,7296,15,19.046,25.779,17.881,,,0.0313,768.5,16.625,16,16.625,0,0,474424,4757368,4777848,474424,5f5271fda6a2fedb,1,ba-string-1000-64,
225,base_append,A,0,string,0,,100000,1024,,,,0,,,1,1024,6,200591.757,200803.711,200440.552,,,1,1608208,100512.5,0,100512.5,0,0,474808,9353160,10971080,474808,87451fa144f84ad8,1,ba-string-100000-1024,
226,base_append,C,128,int,0,,100,32,,,,0,,,900,28800,15,2.598,2.784,2.587,,,0.125,67,1,0,0,0,0,474392,2870168,2870168,474392,46a2c90e03d70df5,1,ba-int-100-32,
227,linear,C,64,string,1,1024,,,,,,0,,,1,1024,15,8.016,8.098,7.853,,,1.0205,48.4,1,0,1,8.4844,0,474328,593296,593296,474328,165bfc4050d5b883,1,lin-ret-string-1024,
228,linear,C,128,nested,0,4096,,,,,,0,,,1,4096,15,3.387,3.713,3.245,,,0.0093,16.19,1,0,1,0,0,474328,2555408,2555408,474328,44fb47bd5072b14f,1,lin-dead-nested-4096,
229,base_append,C,128,string,0,,1000,1,,,,0,,,2400,2400,15,11.129,13.941,11.094,,,4,2144,1,0,1,0,0,474424,6922944,6922944,474424,aa77e5bc29801f9b,1,ba-string-1000-1,
230,linear,C,16,int,1,4096,,,,,,0,,,1,4096,15,48.615,48.879,45.308,,,1.0647,49.51,1,0,0,128.4375,0,474328,787728,787728,474328,e1afe464a1eeb2fb,1,lin-ret-int-4096,
231,read,B,0,int,0,,10000,,8,,,0,mixed,,100000,100000,15,0.469,0.477,0.463,,,0,0,0,0,0,0,0,474832,851664,851664,474832,000dbbb9037ca2e2,1,,
232,branch,C,32,int,0,,1024,,,,,0,,half,1796,1796,15,23.803,24.081,23.664,,,4,640,17,0,0,4,1,474408,1900032,1900032,474408,3ecfce5f98aec082,1,br-int-5-half,"{""lv_at_branch"":16}"
233,invisible,C,32,string,0,336,1000,1280,,,,0,,,1,1,0,,,,,,0,0,0,0,0,0,0,474384,0,645032,474384,58074d7fe720670c,1,,"{""live_slots_tip"":2280,""live_bytes_tip"":37408,""live_slots_snap"":1352,""live_bytes_snap"":22296,""visible_count"":1336,""invisible_slots"":16,""invisible_slot_bound"":32,""blocks_live_snap"":11,""spine_arr_bytes_snap"":512}"
234,base_append,C,64,int,0,,1000,32,,,,0,,,1200,38400,15,2.642,2.722,2.609,,,0.125,35,1,0,0,0,0,474392,2165176,2165176,474392,48d38a9181c4637c,1,ba-int-1000-32,
235,base_append,C,64,string,0,,100000,16,,,,0,,,3614,57824,15,3.258,3.31,3.037,,,0.25,70,1,0,1,0,0,474424,12654888,12654888,474424,e4183092b3c97768,1,ba-string-100000-16,
236,foreach,C,16,int,0,,10000,,1024,,,0,,,33,870672,15,0.552,0.56,0.551,,,0,0,0,0,0,0,0,474448,0,1400200,474448,000033873be3d208,1,fe-int-26384,"{""sink"":33710271440693400}"
237,linear,A,0,nested,0,4096,,,,,,0,,,1,4096,15,6886.668,6932.922,6859.894,,,1.0002,32784,2048.5,0,2048.5,0,0,474328,2542808,2608344,474328,44fb47bd5072b14f,1,lin-dead-nested-4096,
238,base_append,C,128,int,0,,10000,64,,,,0,,,480,30720,15,2.615,2.634,2.441,,,0.0625,33.5,1,0,0,0,0,474424,2077272,2077272,474424,f0ad57df4960eb85,1,ba-int-10000-64,
239,foreach,A,0,int,0,,26384,,0,,,0,,,38,1002592,15,0.494,0.518,0.494,,,0,0,0,0,0,0,0,474448,0,1326416,474448,000033873be3d208,1,fe-int-26384,"{""sink"":38809304095588200}"
240,base_append,C,128,string,0,,10000,1024,,,,0,,,59,60416,15,3.057,3.555,2.74,,,0.0117,16.21,1,0,1,0,0,474424,2475392,2475392,474424,3206d78cb97e9326,1,ba-string-10000-1024,
241,base_append,C,16,int,0,,1000,1,,,,0,,,2400,2400,15,11.319,12.188,10.764,,,4,352,1,0,0,0,0,474392,1506872,1506872,474392,93cca32fd182c49d,1,ba-int-1000-1,
242,base_append,C,128,string,0,,1000,1024,,,,0,,,70,71680,15,3.005,3.305,2.854,,,0.0117,16.21,1,0,1,0,0,474424,2047208,2047208,474424,855adeaaec7a8476,1,ba-string-1000-1024,
243,base_append,C,64,string,0,,100,32,,,,0,,,1200,38400,15,2.872,2.929,2.858,,,0.125,35,1,0,1,0,0,474424,2137976,2137976,474424,9727c4da06513e03,1,ba-string-100-32,
244,linear,A,0,nested,1,1024,,,,,,0,,,1,1024,15,756.836,775.473,746.46,,,1.001,8208.01,512.5,0,512.5,0,0,474328,11024256,11024256,474328,a7c9ef95cc20ecef,1,lin-ret-nested-1024,
245,linear,C,128,object,0,4096,,,,,,0,,,1,4096,15,3.571,4.008,3.154,,,0.0093,16.19,1,0,1,0,0,474328,843280,843280,531672,a90dfee62da19683,1,lin-dead-object-4096,
246,read,C,128,int,0,,10000,,8,,,0,mixed,,100000,100000,15,0.685,0.71,0.672,,,0,0,0,0,0,0,0,474832,872264,872264,474832,000db2618647d982,1,,
247,foreach,A,0,int,0,,10512,,0,,,0,,,93,977616,15,0.494,0.51,0.494,,,0,0,0,0,0,0,0,474448,0,818512,474448,00001487f1f49308,1,fe-int-10512,"{""sink"":37811638400583000}"
248,vcreate,C,128,int,0,,64,,1024,,,0,,,70,70,15,2301.786,2341.071,2291.671,1162.5,1165.486,4,18496,1,0,0,1024,1,474376,0,6557736,474376,0000000000000000,1,,
249,linear,C,16,object,1,1024,,,,,,0,,,1,1024,15,15.381,15.666,15.259,,,1.0693,49.52,1,0,1,32.4375,0,474328,601872,601872,482520,6d7d60429257bfdf,1,lin-ret-object-1024,
250,base_append,B,0,string,0,,1000,4,,,,0,,,171,684,15,156.31,301.17,154.057,,,0.25,4100,251,0,251,0,0,474424,4050968,4050968,474424,5388a4bfc5c1298a,1,ba-string-1000-4,
251,base_append,C,32,string,0,,100000,32,,,,0,,,1435,45920,15,3.189,3.267,2.952,,,0.125,19,1,0,1,0,0,474424,8735776,8735776,474424,994f8fb185288e84,1,ba-string-100000-32,
252,foreach,A,0,int,0,,10016,,0,,,0,,,99,991584,15,0.494,0.53,0.494,,,0,0,0,0,0,0,0,474448,0,802128,474448,0000138fcca4e190,1,fe-int-10016,"{""sink"":38349360607461870}"
253,linear,C,16,nested,0,65536,,,,,,0,,,1,65536,8,3.322,3.468,3.243,,,0.0627,17.5,1,0,1,0,0,474440,33799552,33799552,474440,f1daf9261b2e9d89,1,lin-dead-nested-65536,
254,linear,C,64,int,0,4096,,,,,,0,,,1,4096,15,2.401,2.472,2.37,,,0.0173,16.38,1,0,0,0,0,474328,622352,622352,474328,e1afe464a1eeb2fb,1,lin-dead-int-4096,
255,base_append,C,32,string,0,,10000,1,,,,0,,,898,898,15,11.09,15.636,10.718,,,4,608,1,0,1,0,0,474424,1864112,1864112,474424,a8c9836683df5cf5,1,ba-string-10000-1,
256,linear,C,64,int,1,1024,,,,,,0,,,1,1024,15,7.609,7.894,7.608,,,1.0205,48.4,1,0,0,8.4844,0,474328,552336,552336,474328,10d750485dff5f42,1,lin-ret-int-1024,
257,linear,A,0,array,0,16384,,,,,,0,,,1,16384,6,25102.997,25116.559,25071.66,,,1.0001,131088,8192.5,0,8192.5,0,0,474408,5197096,5459240,474408,a0a527edbf76c633,1,lin-dead-array-16384,
258,depth,C,64,int,0,,1024,,,,256,1,,,1,256,8,46.063,48.016,45.738,,,5.0195,1172.38,33.5,0,0,4.9844,1,474792,869064,869096,474792,a6c97b664136c7bf,1,,"{""live_bytes_depth"":304168}"
259,base_append,C,32,string,0,,10000,64,,,,0,,,449,28736,15,3.165,3.387,2.922,,,0.0781,17.63,1,0,1,0,0,474424,1823024,1823024,474424,d1288a0148114f2a,1,ba-string-10000-64,
260,branch,C,16,string,0,,1024,,,,,0,,worst,1200,1200,15,25.695,26.007,25.383,,,4,384,16,0,16,4,1,474440,1101688,1101688,474440,37fd368482938a95,1,br-string-4-worst,"{""lv_at_branch"":15}"
261,linear,C,16,object,0,4096,,,,,,0,,,1,4096,15,2.96,3.459,2.94,,,0.0647,17.51,1,0,1,0,0,474328,845072,845072,531672,a90dfee62da19683,1,lin-dead-object-4096,
262,invisible,C,16,string,0,161,1000,640,,,,0,,,1,1,0,,,,,,0,0,0,0,0,0,0,474384,0,598440,474384,0f62c48273c47133,1,,"{""live_slots_tip"":1640,""live_bytes_tip"":27168,""live_slots_snap"":1176,""live_bytes_snap"":19480,""visible_count"":1161,""invisible_slots"":15,""invisible_slot_bound"":16,""blocks_live_snap"":11,""spine_arr_bytes_snap"":512}"
263,linear,B,0,string,0,65536,,,,,,0,,,1,65536,15,2.455,3.206,2.41,,,0.0002,32,1,0.9999,1,0,0,474328,5197016,5725400,474328,9cbbb5e4c7bc7156,1,lin-dead-string-65536,
264,base_append,B,0,int,0,,10000,32,,,,0,,,23,736,15,305.649,311.651,297.838,,,0.0313,8192.5,313.5,0,0,0,0,474424,6925816,6925816,474424,d969fe0d6965f4c4,1,ba-int-10000-32,
265,read,B,0,int,0,,10000,,8,,,0,base,,100000,100000,15,0.486,0.495,0.483,,,0,0,0,0,0,0,0,474832,851664,851664,474832,000dc0651c0a2482,1,rd-base,
266,base_append,C,16,string,0,,100000,4,,,,0,,,898,3592,15,4.686,5.081,4.64,,,1,88,1,0,1,0,0,474424,8052264,8052264,474424,6b3786d1e674a16c,1,ba-string-100000-4,
267,linear,C,16,string,0,65536,,,,,,0,,,1,65536,8,3.577,3.848,3.529,,,0.0627,17.5,1,0,1,0,0,474440,5488000,5488000,474440,9cbbb5e4c7bc7156,1,lin-dead-string-65536,
268,linear,B,0,object,1,1024,,,,,,0,,,1,1024,15,896.892,904.378,892.009,,,1.001,10938.77,512.5,0,512.5,0,0,474328,15446696,15446696,482520,6d7d60429257bfdf,1,lin-ret-object-1024,
269,base_append,B,0,string,0,,10000,32,,,,0,,,19,608,15,441.133,458.401,432.702,,,0.0313,8192.5,313.5,0,313.5,0,0,474424,6262104,6262104,474424,e6f2bd899677864a,1,ba-string-10000-32,
270,linear,B,0,string,1,4096,,,,,,0,,,1,4096,6,4235.423,4258.382,4231.395,,,1.0002,43706.69,2048.5,0,2048.5,0,0,474408,195990264,195990264,474408,d1ed2231f0a267b3,1,lin-ret-string-4096,
271,base_append,C,64,string,0,,10000,4,,,,0,,,900,3600,15,4.676,4.769,4.641,,,1,280,1,0,1,0,0,474424,2441688,2441688,474424,1a16fd1767ddbec6,1,ba-string-10000-4,
272,linear,C,16,nested,0,4096,,,,,,0,,,1,4096,15,3.245,3.296,3.225,,,0.0647,17.51,1,0,1,0,0,474328,2557200,2557200,474328,44fb47bd5072b14f,1,lin-dead-nested-4096,
273,base_append,B,0,string,0,,100,1,,,,0,,,1442,1442,15,60.911,73.711,59.958,,,1,2064,101,0,101,0,0,474424,4185856,4185856,474424,e054259b2e6163b4,1,ba-string-100-1,
274,linear,B,0,nested,0,65536,,,,,,0,,,1,65536,15,2.956,4.547,2.928,,,0.0002,32,1,0.9999,1,0,0,474328,33508568,34036952,474328,f1daf9261b2e9d89,1,lin-dead-nested-65536,
275,base_append,C,128,int,0,,100000,4,,,,0,,,655,2620,15,4.342,4.373,4.31,,,1,536,1,0,0,0,0,474424,5420160,5420160,474424,643898b1322dd762,1,ba-int-100000-4,
276,base_append,B,0,int,0,,10000,1024,,,,0,,,18,18432,15,9.967,10.516,9.716,,,0.001,256.02,10.7656,0,0,0,0,474424,5610968,5610968,474424,9a21c971ff833e48,1,ba-int-10000-1024,
277,linear,C,16,object,0,65536,,,,,,0,,,1,65536,8,3.5,3.635,3.398,,,0.0627,17.5,1,0,1,0,0,474440,6528384,6528384,1514824,d4d0b339df764e0a,1,lin-dead-object-65536,
278,linear,C,128,string,0,65536,,,,,,0,,,1,65536,8,3.832,4.392,3.38,,,0.008,16.19,1,0,1,0,0,474440,5459328,5459328,474440,9cbbb5e4c7bc7156,1,lin-dead-string-65536,
279,base_append,A,0,int,0,,10000,1024,,,,0,,,1,1024,15,16402.669,16483.072,16250.162,,,1,168208,10512.5,0,0,0,0,474424,998728,1178952,474424,9a21c971ff833e48,1,ba-int-10000-1024,
280,linear,C,64,array,0,65536,,,,,,0,,,1,65536,8,3.811,3.96,3.731,,,0.0158,16.38,1,0,1,0,0,474408,19619168,19619168,474408,63e98e6e620efd26,1,lin-dead-array-65536,
281,forks,C,64,int,0,,10000,,,64,,0,,,1,64,8,44.922,45.578,44.922,51.438,52.734,4,1120,40,0,0,0,1,474784,891896,891896,474784,502e64ac91959698,1,fk-64,"{""live_bytes_all_forks"":232808}"
282,base_append,C,16,int,0,,10000,32,,,,0,,,1027,32864,15,3.305,3.412,3.073,,,0.1563,19.25,1,0,0,0,0,474424,1562080,1562080,474424,d969fe0d6965f4c4,1,ba-int-10000-32,
283,base_append,B,0,int,0,,100,64,,,,0,,,266,17024,15,3.16,3.742,3.152,,,0.0313,96.5,2.5625,2,0,0,0,474392,2660888,2663448,474392,25c9a09dbb703120,1,ba-int-100-64,
284,base_append,B,0,string,0,,100000,16,,,,0,,,1,16,15,9750,10549.5,9234.375,,,0.0625,131073,6251,0,6251,0,0,474424,9791712,9791712,474424,e4183092b3c97768,1,ba-string-100000-16,
285,base_append,C,16,string,0,,100000,1,,,,0,,,4096,4096,15,11.597,11.841,11.169,,,4,352,1,0,1,0,0,474424,9381504,9381504,474424,6983a2558110d545,1,ba-string-100000-1,
286,base_append,C,16,int,0,,100,1,,,,0,,,1442,1442,15,11.009,11.24,10.605,,,4,352,1,0,0,0,0,474392,1078632,1078632,474392,f75ffeb8407d8c47,1,ba-int-100-1,
287,linear,C,16,string,1,4096,,,,,,0,,,1,4096,15,45.99,46.702,45.888,,,1.0647,49.51,1,0,1,128.4375,0,474328,951568,951568,474328,d1ed2231f0a267b3,1,lin-ret-string-4096,
288,linear,A,0,array,1,4096,,,,,,0,,,1,4096,6,3876.271,3912.689,3858.551,,,1.0002,32784,2048.5,0,2048.5,0,0,474408,143833040,143833040,474408,09d684cff1ede49b,1,lin-ret-array-4096,
289,destroy,B,0,array,0,16384,,,,,,0,,,1,16384,8,1.973,1.976,1.971,,,0,0,0,0,0,0,0,474440,5197128,5332296,474440,0000000000000000,1,,
290,linear,C,64,int,0,1024,,,,,,0,,,1,1024,15,2.4,2.767,2.359,,,0.0205,16.4,1,0,0,0,0,474328,511376,511376,474328,10d750485dff5f42,1,lin-dead-int-1024,
291,base_append,C,128,string,0,,1000,4,,,,0,,,719,2876,15,4.766,4.824,4.694,,,1,536,1,0,1,0,0,474424,2459488,2459488,474424,5388a4bfc5c1298a,1,ba-string-1000-4,
292,vcreate,C,128,int,0,,64,,1,,,0,,,2048,2048,15,13.469,13.55,13.367,12.614,12.715,4,2144,1,0,0,1,1,474376,0,5921888,474376,0000000000000000,1,,
293,base_append,C,16,int,0,,100000,16,,,,0,,,898,14368,15,3.028,3.167,2.822,,,0.25,22,1,0,0,0,0,474424,4052104,4052104,474424,3c179c6d7f79e06d,1,ba-int-100000-16,
294,linear,C,128,object,0,1024,,,,,,0,,,1,1024,15,2.563,3.214,2.522,,,0.0117,16.21,1,0,1,0,0,474328,560464,560464,482520,6d7d60429257bfdf,1,lin-dead-object-1024,
295,base_append,B,0,object,0,,10000,64,,,,0,,,19,1216,15,223.855,240.097,218.271,,,0.0156,4096.25,157.25,0,157.25,0,0,474424,6386264,6386264,597304,3e0995e52ddb186a,1,ba-object-10000-64,
296,base_append,B,0,string,0,,1000,32,,,,0,,,107,3424,15,31.493,52.935,30.934,,,0.0625,1537,32.25,32,32.25,0,0,474424,4497912,4518392,474424,cbb30a3ef264de0b,1,ba-string-1000-32,
297,base_append,B,0,int,0,,100,1,,,,0,,,514,514,15,46.206,46.37,46.043,,,1,2064,101,0,0,0,0,474392,1802008,1802008,474392,f75ffeb8407d8c47,1,ba-int-100-1,
298,base_append,C,128,int,0,,100000,16,,,,0,,,719,11504,15,2.753,2.995,2.738,,,0.25,134,1,0,0,0,0,474424,5589632,5589632,474424,3c179c6d7f79e06d,1,ba-int-100000-16,
299,base_append,C,64,string,0,,100,1024,,,,0,,,87,89088,15,2.979,3.218,2.765,,,0.0205,16.4,1,0,1,0,0,474424,2340224,2340224,474424,5901fab5efd9bf2f,1,ba-string-100-1024,
300,base_append,A,0,object,0,,10000,1,,,,0,,,19,19,15,10048.211,13146.947,9975.895,,,1,160024,10001,0,10001,0,0,474424,4438144,4438144,597304,3b1a5c0d0710a088,1,ba-object-10000-1,
301,base_append,B,0,string,0,,10000,64,,,,0,,,19,1216,15,220.909,231.188,216.386,,,0.0156,4096.25,157.25,0,157.25,0,0,474424,6263384,6263384,474424,d1288a0148114f2a,1,ba-string-10000-64,
302,linear,B,0,array,1,1024,,,,,,0,,,1,1024,15,912.679,996.216,901.855,,,1.001,10938.77,512.5,0,512.5,0,0,474328,15659688,15659688,474328,ffc2777778d9050b,1,lin-ret-array-1024,
303,base_append,B,0,int,0,,100000,1024,,,,0,,,2,2048,6,115.092,121.989,113.302,,,0.001,2048.02,98.6563,0,0,0,0,474808,7921400,7921400,474808,383caafaf213374a,1,ba-int-100000-1024,
304,base_append,C,32,int,0,,100000,32,,,,0,,,553,17696,15,2.8,3.301,2.748,,,0.125,19,1,0,0,0,0,474424,4088304,4088304,474424,36bc3c9886230884,1,ba-int-100000-32,
305,read,C,128,int,0,,10000,,8,,,0,last,,100000,100000,15,0.609,0.652,0.605,,,0,0,0,0,0,0,0,474832,872264,872264,474832,000d99c3ec18b4a2,1,,
306,foreach,C,32,int,0,,10000,,1024,,,0,,,19,812592,15,0.568,0.604,0.568,,,0,0,0,0,0,0,0,474448,0,1990024,474448,00005388553ff208,1,fe-int-42768,"{""sink"":31502838742730936}"
307,base_append,C,128,int,0,,100000,1,,,,0,,,1027,1027,15,10.386,10.467,10.306,,,4,2144,1,0,0,0,0,474424,6409312,6409312,474424,3b335e27ff112313,1,ba-int-100000-1,
308,base_append,C,32,int,0,,1000,1,,,,0,,,1796,1796,15,10.625,12.389,10.579,,,4,608,1,0,0,0,0,474392,1831064,1831064,474392,93cca32fd182c49d,1,ba-int-1000-1,
309,invisible,C,16,string,0,168,1000,640,,,,0,,,1,1,0,,,,,,0,0,0,0,0,0,0,474384,0,598440,474384,a19a8545ae15216f,1,,"{""live_slots_tip"":1640,""live_bytes_tip"":27168,""live_slots_snap"":1176,""live_bytes_snap"":19480,""visible_count"":1168,""invisible_slots"":8,""invisible_slot_bound"":16,""blocks_live_snap"":11,""spine_arr_bytes_snap"":512}"
310,base_append,C,16,string,0,,100,32,,,,0,,,719,23008,15,2.899,3.019,2.879,,,0.1563,19.25,1,0,1,0,0,474424,1015712,1015712,474424,9727c4da06513e03,1,ba-string-100-32,
311,destroy,A,0,object,0,16384,,,,,,0,,,1,16384,8,2.118,2.151,2.118,,,0,0,0,0,0,0,0,474440,1912136,2174280,728392,0000000000000000,1,,
312,branch,C,16,int,0,,1024,,,,,0,,worst,1442,1442,15,23.607,25.544,23.492,,,4,384,16,0,0,4,1,474408,1163856,1163856,474408,8fb6b1db29b6d42c,1,br-int-4-worst,"{""lv_at_branch"":15}"
313,base_append,A,0,int,0,,1000,4,,,,0,,,45,180,15,1191.894,1275.922,1190.972,,,1,16048,1002.5,0,0,0,0,474392,1244824,1261208,474392,f1591d888dcf0d7e,1,ba-int-1000-4,
314,base_append,C,64,int,0,,10000,1024,,,,0,,,107,109568,15,2.784,2.982,2.607,,,0.0205,16.4,1,0,0,0,0,474424,3030464,3030464,474424,9a21c971ff833e48,1,ba-int-10000-1024,
315,branch,C,32,int,0,,1024,,,,,0,,boundary,1200,1200,15,16.042,16.319,15.833,,,4,640,1,0,0,5,1,474448,1443016,1443016,474448,ea145fa6ef770b0e,1,br-int-5-boundary,"{""lv_at_branch"":32}"
316,base_append,C,64,object,0,,10000,64,,,,0,,,554,35456,15,2.724,2.76,2.705,,,0.0625,17.5,1,0,1,0,0,474424,2093640,2093640,597304,3e0995e52ddb186a,1,ba-object-10000-64,
317,forks,C,64,int,0,,10000,,,256,,0,,,1,256,8,45.41,45.738,45.082,51.758,51.918,4,1120,40,0,0,0,1,474784,1160184,1160184,474784,810a3c8e8749e7e4,1,fk-256,"{""live_bytes_all_forks"":447848}"
318,linear,C,128,int,1,1024,,,,,,0,,,1,1024,15,6.348,6.43,6.267,,,1.0117,48.21,1,0,0,4.4922,0,474328,552272,552272,474328,10d750485dff5f42,1,lin-ret-int-1024,
319,base_append,C,128,int,0,,1000,1024,,,,0,,,79,80896,15,2.524,2.925,2.432,,,0.0117,16.21,1,0,0,0,0,474424,2151648,2151648,474424,7b8e53e24891a6cc,1,ba-int-1000-1024,
320,linear,C,32,int,1,1024,,,,,,0,,,1,1024,15,10.214,10.295,10.132,,,1.0371,48.77,1,0,0,16.4688,0,474328,552464,552464,474328,10d750485dff5f42,1,lin-ret-int-1024,
321,foreach,C,16,int,0,,10000,,1,,,0,,,95,951520,15,0.494,0.53,0.494,,,0,0,0,0,0,0,0,474448,0,802536,474448,0000138fcca4e190,1,fe-int-10016,"{""sink"":36800760515629420}"
322,base_append,C,64,int,0,,10000,4,,,,0,,,1807,7228,15,4.404,4.427,4.375,,,1,280,1,0,0,0,0,474392,3290464,3290464,474392,99f950c746178658,1,ba-int-10000-4,
323,base_append,C,128,string,0,,100,16,,,,0,,,1796,28736,15,3.032,3.109,3.025,,,0.25,134,1,0,1,0,0,474424,5255128,5255128,474424,a433fde0ca4b111f,1,ba-string-100-16,
324,destroy,C,128,string,0,16384,,,,,,0,,,1,16384,8,1.099,1.208,1.091,,,0,0,0,0,0,0,0,474440,1720704,1720704,474440,0000000000000000,1,,
325,linear,A,0,object,1,1024,,,,,,0,,,1,1024,15,732.381,746.256,695.109,,,1.001,8208.01,512.5,0,512.5,0,0,474328,10590080,10590080,482520,6d7d60429257bfdf,1,lin-ret-object-1024,
326,base_append,C,32,int,0,,100,1024,,,,0,,,83,84992,15,2.886,3.197,2.737,,,0.0371,16.77,1,0,0,0,0,474424,2223232,2223232,474424,fd243c73dbc412f0,1,ba-int-100-1024,
327,destroy,C,16,int,0,16384,,,,,,0,,,1,16384,8,1.144,1.152,1.142,,,0,0,0,0,0,0,0,474408,1072480,1072480,474408,0000000000000000,1,,
328,base_append,A,0,string,0,,10000,32,,,,0,,,1,32,15,17993.5,19348.969,17901.063,,,1,160272,10016.5,0,10016.5,0,0,474424,1367240,1531080,474424,e6f2bd899677864a,1,ba-string-10000-32,
329,base_append,C,64,int,0,,1000,1,,,,0,,,2400,2400,15,10.625,10.677,10.573,,,4,1120,1,0,0,0,0,474392,3810872,3810872,474392,93cca32fd182c49d,1,ba-int-1000-1,
330,base_append,C,64,string,0,,10000,16,,,,0,,,800,12800,15,3.031,3.044,3.005,,,0.25,70,1,0,1,0,0,474424,2305368,2305368,474424,442e58edb84b240e,1,ba-string-10000-16,
331,linear,C,16,string,0,4096,,,,,,0,,,1,4096,15,3.133,3.286,3.052,,,0.0647,17.51,1,0,1,0,0,474328,787728,787728,474328,d1ed2231f0a267b3,1,lin-dead-string-4096,
332,read,C,16,int,0,,10000,,8,,,0,base,,100000,100000,15,0.566,0.599,0.54,,,0,0,0,0,0,0,0,474832,837960,837960,474832,000dc0651c0a2482,1,rd-base,
333,base_append,C,128,int,0,,1000,4,,,,0,,,1442,5768,15,4.392,4.457,4.363,,,1,536,1,0,0,0,0,474392,4337896,4337896,474392,f1591d888dcf0d7e,1,ba-int-1000-4,
