id,workload,repr,chunk,elem,retained,n,base,appended,blocks,forks,depth,keep_all,region,lv_pos,batch,ops_per_sample,nsamples,median_ns,p95_ns,min_ns,median2_ns,p95_2_ns,allocs_op,bytes_op,zcopies_op,zmoves_op,addref_op,blk_addref_op,branches_op,mem_start,mem_build,mem_peak,mem_end,checksum,balance_ok,vgroup,extra
106,base_append,B,0,string,0,,100000,32,,,,0,,,1,32,15,5015.625,5402.344,4822.906,,,0.0313,65536.5,3126,0,3126,0,0,474424,9792352,9792352,474424,994f8fb185288e84,1,ba-string-100000-32,
107,depth,C,64,int,0,,1024,,,,256,0,,,1,256,8,94.891,95.863,94.078,,,5.0195,1172.38,33.5,0,0,4.9844,1,474400,521880,523312,474400,a6c97b664136c7bf,1,,"{""live_bytes_depth"":21672}"
108,base_append,A,0,string,0,,100000,32,,,,0,,,1,32,15,194432.281,196604.156,192346.344,,,1,1600272,100016.5,0,100016.5,0,0,474424,9280328,10881864,474424,994f8fb185288e84,1,ba-string-100000-32,
109,read,C,128,int,0,,10000,,8,,,0,full,,100000,100000,15,0.65,0.656,0.648,,,0,0,0,0,0,0,0,474832,872264,872264,474832,000dc1d2c24136a2,1,,
110,linear,C,32,int,1,65536,,,,,,0,,,1,65536,5,588.658,590.521,587.231,,,1.0314,48.75,1,0,0,1024.4688,0,474408,5471584,5471584,474408,9f836d3a8baba8bc,1,lin-ret-int-65536,
111,base_append,C,64,string,0,,1000,1024,,,,0,,,69,70656,15,2.824,2.87,2.779,,,0.0205,16.4,1,0,1,0,0,474424,2031024,2031024,474424,855adeaaec7a8476,1,ba-string-1000-1024,
112,destroy,C,16,array,0,16384,,,,,,0,,,1,16384,8,2.136,2.157,2.134,,,0,0,0,0,0,0,0,474440,5266816,5266816,474440,0000000000000000,1,,
113,base_append,C,16,int,0,,1000,32,,,,0,,,800,25600,15,3.143,3.63,3.035,,,0.1563,19.25,1,0,0,0,0,474392,1101880,1101880,474392,48d38a9181c4637c,1,ba-int-1000-32,
114,base_append,C,32,string,0,,100,1,,,,0,,,2400,2400,15,11.129,12.587,11.007,,,4,608,1,0,1,0,0,474424,2249760,2249760,474424,e054259b2e6163b4,1,ba-string-100-1,
115,base_append,C,16,string,0,,10000,1,,,,0,,,3614,3614,15,11.425,12.544,11.195,,,4,352,1,0,1,0,0,474424,2709456,2709456,474424,a8c9836683df5cf5,1,ba-string-10000-1,
116,linear,A,0,array,0,1024,,,,,,0,,,1,1024,15,1369.589,1392.537,1317.586,,,1.001,8208.01,512.5,0,512.5,0,0,474328,773336,789720,474328,ffc2777778d9050b,1,lin-dead-array-1024,
117,base_append,C,32,string,0,,100,4,,,,0,,,2400,9600,15,4.87,5.013,4.796,,,1,152,1,0,1,0,0,474424,2249880,2249880,474424,d697ab7efcf7800f,1,ba-string-100-4,
118,base_append,C,16,int,0,,100,4,,,,0,,,1796,7184,15,4.414,4.802,4.391,,,1,88,1,0,0,0,0,474392,1227160,1227160,474392,516dfccebf7220d1,1,ba-int-100-4,
119,base_append,A,0,int,0,,100000,32,,,,0,,,1,32,15,146229.156,148812.5,145526.063,,,1,1600272,100016.5,0,0,0,0,474424,5279048,6880584,474424,36bc3c9886230884,1,ba-int-100000-32,
120,base_append,C,32,int,0,,100,1,,,,0,,,1435,1435,15,10.569,11.672,10.511,,,4,608,1,0,0,0,0,474392,1534976,1534976,474392,f75ffeb8407d8c47,1,ba-int-100-1,
121,base_append,C,16,int,0,,100,1024,,,,0,,,71,72704,15,2.97,3.232,2.813,,,0.0693,17.52,1,0,0,0,0,474424,1991776,1991776,474424,fd243c73dbc412f0,1,ba-int-100-1024,
122,base_append,C,32,int,0,,100,4,,,,0,,,1200,4800,15,4.41,4.618,4.384,,,1,152,1,0,0,0,0,474392,1363896,1363896,474392,516dfccebf7220d1,1,ba-int-100-4,
123,base_append,A,0,int,0,,100,32,,,,0,,,48,1536,15,176.893,186.686,176.812,,,1,1872,116.5,0,0,0,0,474392,602008,604568,474392,46a2c90e03d70df5,1,ba-int-100-32,
124,destroy,C,128,array,0,16384,,,,,,0,,,1,16384,8,2.022,2.024,2.019,,,0,0,0,0,0,0,0,474440,5259648,5259648,474440,0000000000000000,1,,
125,linear,C,32,string,1,16384,,,,,,0,,,1,16384,15,85.993,89.137,84.554,,,1.0319,48.75,1,0,1,256.4688,0,474328,2379024,2379024,474328,72b0f5230c3274cb,1,lin-ret-string-16384,
126,base_append,C,128,string,0,,100000,32,,,,0,,,719,23008,15,2.852,2.863,2.841,,,0.125,67,1,0,1,0,0,474424,9590912,9590912,474424,994f8fb185288e84,1,ba-string-100000-32,
127,linear,B,0,nested,0,16384,,,,,,0,,,1,16384,15,2.782,2.978,2.724,,,0.0009,32.01,1,0.9998,1,0,0,474328,8735960,8871128,474328,a4215f297dad968f,1,lin-dead-nested-16384,
128,linear,B,0,int,0,65536,,,,,,0,,,1,65536,15,2.127,2.154,2.106,,,0.0002,32,1,0.9999,0,0,0,474328,2575576,3103960,474328,9f836d3a8baba8bc,1,lin-dead-int-65536,
129,linear,C,64,string,0,4096,,,,,,0,,,1,4096,15,3.133,3.357,2.879,,,0.0173,16.38,1,0,1,0,0,474328,786192,786192,474328,d1ed2231f0a267b3,1,lin-dead-string-4096,
130,linear,C,128,int,0,4096,,,,,,0,,,1,4096,15,2.34,3.296,2.319,,,0.0093,16.19,1,0,0,0,0,474328,622096,622096,474328,e1afe464a1eeb2fb,1,lin-dead-int-4096,
131,linear,C,128,object,0,65536,,,,,,0,,,1,65536,8,3.345,4.177,3.133,,,0.008,16.19,1,0,1,0,0,474440,6499712,6499712,1514824,d4d0b339df764e0a,1,lin-dead-object-65536,
132,foreach,A,0,int,0,,11024,,0,,,0,,,88,970112,15,0.494,0.497,0.494,,,0,0,0,0,0,0,0,474448,0,834896,474448,0000158798257408,1,fe-int-11024,"{""sink"":37520306015004040}"
133,base_append,C,16,string,0,,100,16,,,,0,,,1200,19200,15,3.103,3.24,3.069,,,0.25,22,1,0,1,0,0,474424,984824,984824,474424,a433fde0ca4b111f,1,ba-string-100-16,
134,base_append,C,32,string,0,,10000,16,,,,0,,,3571,57136,15,3.319,3.374,3.097,,,0.25,38,1,0,1,0,0,474424,3831136,3831136,474424,442e58edb84b240e,1,ba-string-10000-16,
135,base_append,C,32,string,0,,100000,64,,,,0,,,655,41920,15,3.264,3.552,3.144,,,0.0781,17.63,1,0,1,0,0,474424,8584320,8584320,474424,25f64f6b5d86baac,1,ba-string-100000-64,
136,base_append,C,16,string,0,,100,64,,,,0,,,600,38400,15,2.977,3.026,2.929,,,0.1094,17.88,1,0,1,0,0,474424,1314872,1314872,474424,a23575fb359b72cb,1,ba-string-100-64,
137,base_append,C,32,int,0,,100000,1024,,,,0,,,105,107520,15,3.042,3.276,2.744,,,0.0371,16.77,1,0,0,0,0,474424,5877968,5877968,474424,383caafaf213374a,1,ba-int-100000-1024,
138,base_append,C,32,int,0,,10000,16,,,,0,,,1796,28736,15,2.907,3.309,2.838,,,0.25,38,1,0,0,0,0,474424,2126008,2126008,474424,4277fcf600eb5748,1,ba-int-10000-16,
139,base_append,C,32,int,0,,10000,4,,,,0,,,1807,7228,15,4.456,4.612,4.393,,,1,152,1,0,0,0,0,474392,2133984,2133984,474392,99f950c746178658,1,ba-int-10000-4,
140,base_append,C,64,string,0,,1000,64,,,,0,,,480,30720,15,2.866,3.2,2.734,,,0.0625,17.5,1,0,1,0,0,474424,1214616,1214616,474424,5f5271fda6a2fedb,1,ba-string-1000-64,
141,base_append,C,128,int,0,,1000,32,,,,0,,,655,20960,15,2.604,2.747,2.598,,,0.125,67,1,0,0,0,0,474392,2253920,2253920,474392,48d38a9181c4637c,1,ba-int-1000-32,
142,base_append,A,0,string,0,,100000,16,,,,0,,,1,16,15,192046.875,196000,188247.375,,,1,1600144,100008.5,0,100008.5,0,0,474424,9279688,10881224,474424,e4183092b3c97768,1,ba-string-100000-16,
143,linear,B,0,int,0,1024,,,,,,0,,,1,1024,15,1.994,2.034,1.953,,,0.0098,32.09,1,0.9961,0,0,0,474328,511192,523480,474328,10d750485dff5f42,1,lin-dead-int-1024,
144,linear,B,0,array,0,4096,,,,,,0,,,1,4096,15,2.492,2.543,2.452,,,0.0029,32.03,1,0.999,1,0,0,474328,1658072,1694936,474328,09d684cff1ede49b,1,lin-dead-array-4096,
145,base_append,A,0,int,0,,10000,4,,,,0,,,4,16,15,12359.375,13367.188,12317.688,,,1,160048,10002.5,0,0,0,0,474392,1457464,1621304,474392,99f950c746178658,1,ba-int-10000-4,
146,base_append,B,0,int,0,,10000,4,,,,0,,,22,88,15,2529.352,2624.045,2448.398,,,0.25,65540,2501,0,0,0,0,474392,6659544,6659544,474392,99f950c746178658,1,ba-int-10000-4,
147,base_append,C,128,int,0,,100,64,,,,0,,,423,27072,15,2.412,2.419,2.41,,,0.0625,33.5,1,0,0,0,0,474392,1603488,1603488,474392,25c9a09dbb703120,1,ba-int-100-64,
148,base_append,A,0,int,0,,1000,1,,,,0,,,225,225,15,481.667,930.369,479.262,,,1,16024,1001,0,0,0,0,474392,4195608,4195608,474392,93cca32fd182c49d,1,ba-int-1000-1,
149,linear,C,16,string,1,16384,,,,,,0,,,1,16384,15,164.124,165.148,163.877,,,1.0632,49.5,1,0,1,512.4375,0,474328,2383120,2383120,474328,72b0f5230c3274cb,1,lin-ret-string-16384,
150,vcreate,C,64,int,0,,64,,64,,,0,,,1200,1200,15,48.472,49.479,46.389,51.701,52.362,4,2112,1,0,0,64,1,474376,0,3472576,474376,0000000000000000,1,,
151,base_append,A,0,int,0,,100000,4,,,,0,,,1,4,15,194468.75,198937.5,192416.75,,,1,1600048,100002.5,0,0,0,0,474392,5279016,6880552,474392,643898b1322dd762,1,ba-int-100000-4,
152,base_append,B,0,string,0,,10000,1,,,,0,,,18,18,15,14310.167,17141.222,14034.722,,,1,262160,10001,0,10001,0,0,474424,5994624,5994624,474424,a8c9836683df5cf5,1,ba-string-10000-1,
153,linear,C,128,array,0,4096,,,,,,0,,,1,4096,15,3.133,3.469,2.991,,,0.0093,16.19,1,0,1,0,0,474328,1670672,1670672,474328,09d684cff1ede49b,1,lin-dead-array-4096,
154,base_append,C,64,string,0,,100,4,,,,0,,,900,3600,15,4.722,4.769,4.676,,,1,280,1,0,1,0,0,474424,1721592,1721592,474424,d697ab7efcf7800f,1,ba-string-100-4,
155,base_append,A,0,string,0,,1000,1,,,,0,,,194,194,15,631.871,692.655,590.418,,,1,16024,1001,0,1001,0,0,474424,3727520,3727520,474424,aa77e5bc29801f9b,1,ba-string-1000-1,
156,base_append,C,128,string,0,,100000,64,,,,0,,,360,23040,15,2.875,2.922,2.866,,,0.0625,33.5,1,0,1,0,0,474424,8636440,8636440,474424,25f64f6b5d86baac,1,ba-string-100000-64,
157,base_append,C,32,int,0,,1000,16,,,,0,,,1796,28736,15,2.865,2.923,2.817,,,0.25,38,1,0,0,0,0,474392,1831064,1831064,474392,cc89482edb8ba160,1,ba-int-1000-16,
158,base_append,C,16,int,0,,1000,4,,,,0,,,1796,7184,15,4.414,4.42,4.385,,,1,88,1,0,0,0,0,474392,1256344,1256344,474392,f1591d888dcf0d7e,1,ba-int-1000-4,
159,forks,C,64,int,0,,10000,,,16,,0,,,1,16,8,44.25,46.875,41.688,52.125,52.125,4,1120,40,0,0,0,1,474784,825848,825848,474784,08f8bda462d864aa,1,fk-16,"{""live_bytes_all_forks"":179048}"
160,linear,C,32,object,1,1024,,,,,,0,,,1,1024,15,10.213,10.376,10.091,,,1.0371,48.77,1,0,1,16.4688,0,474328,601616,601616,482520,6d7d60429257bfdf,1,lin-ret-object-1024,
161,foreach,C,64,int,0,,10000,,1024,,,0,,,11,830896,15,0.605,0.618,0.564,,,0,0,0,0,0,0,0,474448,0,3169672,474448,00009386b7f83208,1,fe-int-75536,"{""sink"":32279157458003000}"
162,base_append,C,64,object,0,,10000,1,,,,0,,,4096,4096,15,11.088,11.119,11.057,,,4,1120,1,0,1,0,0,474424,6961152,6961152,597304,3b1a5c0d0710a088,1,ba-object-10000-1,
163,linear,C,64,object,0,4096,,,,,,0,,,1,4096,15,2.909,3.184,2.879,,,0.0173,16.38,1,0,1,0,0,474328,843536,843536,531672,a90dfee62da19683,1,lin-dead-object-4096,
164,base_append,C,16,string,0,,100000,1024,,,,0,,,62,63488,15,3.102,3.176,2.867,,,0.0693,17.52,1,0,1,0,0,474424,9040360,9040360,474424,87451fa144f84ad8,1,ba-string-100000-1024,
165,base_append,A,0,string,0,,100000,1,,,,0,,,1,1,15,90292,174375,89708,,,1,1600024,100001,0,100001,0,0,474424,9279088,9279088,474424,6983a2558110d545,1,ba-string-100000-1,
166,destroy,A,0,nested,0,16384,,,,,,0,,,1,16384,8,1.996,2.139,1.991,,,0,0,0,0,0,0,0,474440,8736072,8998216,474440,0000000000000000,1,,
167,base_append,C,64,string,0,,100000,1,,,,0,,,3614,3614,15,11.057,11.103,11.033,,,4,1120,1,0,1,0,0,474424,12654288,12654288,474424,6983a2558110d545,1,ba-string-100000-1,
168,base_append,B,0,string,0,,100000,1,,,,0,,,1,1,15,151416,162916,145416,,,1,2097168,100001,0,100001,0,0,474424,9791112,9791112,474424,6983a2558110d545,1,ba-string-100000-1,
169,base_append,C,32,string,0,,100000,16,,,,0,,,2400,38400,15,3.294,3.534,3.065,,,0.25,38,1,0,1,0,0,474424,9445848,9445848,474424,e4183092b3c97768,1,ba-string-100000-16,
170,linear,C,128,string,0,4096,,,,,,0,,,1,4096,15,3.296,3.581,3.042,,,0.0093,16.19,1,0,1,0,0,474328,785936,785936,474328,d1ed2231f0a267b3,1,lin-dead-string-4096,
171,linear,A,0,int,0,4096,,,,,,0,,,1,4096,15,2914.205,2931.803,2912.506,,,1.0002,32784,2048.5,0,0,0,0,474328,609496,675032,474328,e1afe464a1eeb2fb,1,lin-dead-int-4096,
172,linear,B,0,nested,1,4096,,,,,,0,,,1,4096,6,4919.719,4950.022,4909.983,,,1.0002,43706.69,2048.5,0,2048.5,0,0,474408,197759736,197759736,474408,44fb47bd5072b14f,1,lin-ret-nested-4096,
173,linear,C,16,object,1,4096,,,,,,0,,,1,4096,15,49.011,52.145,48.96,,,1.0647,49.51,1,0,1,128.4375,0,474328,1008912,1008912,531672,a90dfee62da19683,1,lin-ret-object-4096,
174,linear,C,64,array,0,4096,,,,,,0,,,1,4096,15,3.021,3.255,2.96,,,0.0173,16.38,1,0,1,0,0,474328,1670928,1670928,474328,09d684cff1ede49b,1,lin-dead-array-4096,
